"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"American Express Gold Card","","07/01/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Cleared"
"CHASE SECURE BANKING","","07/01/2026","Cash App",": Ready to Assign","","Ready to Assign","","$0.00","$294.15","Cleared"
"American Express Gold Card","","07/01/2026","Brando's","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$30.77","$0.00","Cleared"
"CHASE SECURE BANKING","","07/01/2026","Cleo","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$80.00","Cleared"
"American Express Gold Card","","07/01/2026","Zayna","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$20.09","$0.00","Cleared"
"American Express Gold Card","","07/01/2026","The Lemon","Fun Spending: Bars","Fun Spending","Bars","","$19.37","$0.00","Cleared"
"CHASE SECURE BANKING","","07/01/2026","YNAB","Subscriptions: YNAB","Subscriptions","YNAB","","$14.99","$0.00","Cleared"
"American Express Gold Card","","07/01/2026","West Loop Wine","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$29.07","$0.00","Cleared"
"CHASE SECURE BANKING","","07/01/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$6.06","$0.00","Cleared"
"American Express Gold Card","","07/01/2026","The Lemon","Fun Spending: Bars","Fun Spending","Bars","","$16.61","$0.00","Cleared"
"CHASE SECURE BANKING","","06/30/2026","Flex","Bills: 🏠 Rent","Bills","🏠 Rent","","$1,822.04","$0.00","Cleared"
"CHASE SECURE BANKING","","06/30/2026","Big Shoulders Coffee","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$8.10","$0.00","Cleared"
"CHASE SECURE BANKING","","06/30/2026","CVS","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","","$14.56","$0.00","Cleared"
"American Express Gold Card","","06/30/2026","Amazon Digital Services","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$11.99","$0.00","Cleared"
"American Express Gold Card","","06/30/2026","Aplpay Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$4.04","$0.00","Cleared"
"CHASE SECURE BANKING","","06/30/2026","ComEd","Bills: Electricity","Bills","Electricity","","$59.22","$0.00","Cleared"
"CHASE SECURE BANKING","","06/30/2026","Cleo","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$80.00","Cleared"
"CHASE SECURE BANKING","","06/29/2026","Pilot Flying J","Wealth Building: Travel","Wealth Building","Travel","","$23.88","$0.00","Cleared"
"American Express Gold Card","","06/29/2026","Hertz Car Rental","Wealth Building: Travel","Wealth Building","Travel","","$146.27","$0.00","Cleared"
"American Express Gold Card","","06/29/2026","Paramount+","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$15.26","$0.00","Cleared"
"CHASE SECURE BANKING","","06/29/2026","Cleo Advance","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$199.98","$0.00","Cleared"
"CHASE SECURE BANKING","","06/29/2026","Cleo Advance","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$340.00","$0.00","Cleared"
"CHASE SECURE BANKING","","06/29/2026","Do More Trial Ov","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$7.00","$0.00","Cleared"
"CHASE SECURE BANKING","","06/29/2026","Bovaconti Coffee","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$45.94","$0.00","Cleared"
"CHASE SECURE BANKING","","06/29/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$5.00","$0.00","Cleared"
"CHASE SECURE BANKING","","06/29/2026","Em Workout Rice","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$17.77","$0.00","Cleared"
"CHASE SECURE BANKING","","06/29/2026","Seven Faced Bird","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$6.64","$0.00","Cleared"
"CHASE SECURE BANKING","","06/29/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$13.50","$0.00","Cleared"
"American Express Gold Card","","06/27/2026","Aplpay Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$17.37","$0.00","Cleared"
"American Express Gold Card","","06/27/2026","Aplpay Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$4.63","$0.00","Cleared"
"American Express Gold Card","","06/27/2026","Healer","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$12.84","$0.00","Cleared"
"American Express Gold Card","","06/27/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.50","$0.00","Cleared"
"American Express Gold Card","","06/27/2026","Healer","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$9.56","$0.00","Cleared"
"American Express Gold Card","","06/27/2026","McDonald's","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$12.27","$0.00","Cleared"
"American Express Gold Card","","06/27/2026","Uber","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$9.99","$0.00","Cleared"
"American Express Gold Card","","06/27/2026","Healer","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$8.49","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Github.com","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$11.50","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Michael Weboakland Ca","Irregular Expenses: Dad Reimbursement","Irregular Expenses","Dad Reimbursement","","$206.00","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Aplpay Seven","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$21.06","$0.00","Cleared"
"CHASE SECURE BANKING","","06/26/2026","Tock Payroll",": Ready to Assign","","Ready to Assign","","$0.00","$2,884.13","Cleared"
"CHASE SECURE BANKING","","06/26/2026","Cash App",": Ready to Assign","","Ready to Assign","","$0.00","$196.10","Cleared"
"American Express Gold Card","","06/26/2026","Gangnam Market","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$34.64","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Em Market","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$18.46","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Em Market","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$7.92","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Amex Send","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$200.00","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Apple","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$6.60","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Roost Biscuit","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$11.17","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Point","Fun Spending: Bars","Fun Spending","Bars","","$18.86","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Point","Fun Spending: Bars","Fun Spending","Bars","","$12.13","$0.00","Cleared"
"American Express Gold Card","","06/26/2026","Lyft","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$15.69","$0.00","Cleared"
"American Express Gold Card","","06/25/2026","Interest Charge","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest","","$45.22","$0.00","Cleared"
"American Express Gold Card","","06/25/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Cleared"
"American Express Gold Card","","06/25/2026","Aplpay Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$8.09","$0.00","Cleared"
"American Express Gold Card","","06/25/2026","CVS","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","","$3.63","$0.00","Cleared"
"American Express Gold Card","","06/25/2026","Matchbox","Fun Spending: Bars","Fun Spending","Bars","","$7.49","$0.00","Cleared"
"American Express Gold Card","","06/25/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$28.02","$0.00","Cleared"
"American Express Gold Card","","06/25/2026","Aplpay Otter House","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$18.72","$0.00","Cleared"
"American Express Gold Card","","06/25/2026","Amex Send Transfer","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$0.00","$200.00","Cleared"
"American Express Gold Card","","06/25/2026","Amex Send","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$66.00","$0.00","Cleared"
"American Express Gold Card","","06/25/2026","Apple","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$2.99","$0.00","Cleared"
"American Express Gold Card","","06/24/2026","Aplpay Tous Les","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$22.15","$0.00","Cleared"
"American Express Gold Card","","06/24/2026","Amazon Digital Services","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$13.08","$0.00","Cleared"
"American Express Gold Card","","06/24/2026","Aplpay Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$10.50","$0.00","Cleared"
"American Express Gold Card","","06/24/2026","Omakase Shoji","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$203.64","$0.00","Cleared"
"American Express Gold Card","","06/24/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$2.25","$0.00","Cleared"
"American Express Gold Card","","06/24/2026","The Lemon","Fun Spending: Bars","Fun Spending","Bars","","$45.65","$0.00","Cleared"
"American Express Gold Card","","06/24/2026","Bonyeon","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$167.63","$0.00","Cleared"
"American Express Gold Card","","06/23/2026","CVS","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","","$6.21","$0.00","Cleared"
"CHASE SECURE BANKING","","06/23/2026","Payment to American Express Gold Card","","","","","$894.67","$0.00","Uncleared"
"American Express Gold Card","","06/23/2026","Aplpay Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$4.85","$0.00","Cleared"
"American Express Gold Card","","06/23/2026","CVS","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health","","$11.49","$0.00","Cleared"
"American Express Gold Card","","06/23/2026","Payment from CHASE SECURE BANKING","","","","","$0.00","$894.67","Cleared"
"American Express Gold Card","","06/23/2026","365 Retail Markets","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$4.88","$0.00","Cleared"
"American Express Gold Card","","06/23/2026","Aplpay Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$12.42","$0.00","Cleared"
"American Express Gold Card","","06/22/2026","Apple","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$11.01","$0.00","Cleared"
"American Express Gold Card","","06/22/2026","Aplpay Gangnam","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$14.15","$0.00","Cleared"
